"","breed","parity","kgmilk","cellcount","cowid","InCalf"
"239","Friesian","4",30.8,1134,"320150519","1"
"240","Friesian","4",28,87,"320150529","1"
"241","Friesian","4",29.4,290,"320150550","1"
"242","Friesian","3",6.4,677,"320150558","1"
"243","Friesian","3",27.6,975,"320150567","1"
"244","Friesian","3",28,32,"320150584","0"
"245","Friesian","3",31.6,132,"320150586","1"
"246","Friesian","2",15.8,130,"320150592","1"
"247","Friesian","3",18,370,"320150595","1"
"248","Friesian","2",16.2,257,"320150596","1"
"249","Friesian","3",32.2,40,"320150597","1"
"250","Friesian","3",22.8,0,"320150604","0"
"251","Friesian","2",20.8,800,"320150605","0"
"252","Friesian","2",26,516,"320150606","0"
"253","Friesian","2",18.2,223,"320150616","0"
"254","Friesian","2",24.4,114,"320150617","1"
"255","Friesian","2",21,730,"320150623","1"
"256","Friesian","1",16.4,58,"320150631","1"
"257","Friesian","1",19.8,595,"320150635","1"
"258","Friesian","1",14.6,236,"320150637","1"
"259","Friesian","2",19,62,"320150638","1"
"260","Friesian","2",24.2,445,"320150639","0"
"261","Friesian","1",21.8,99,"320150663","1"
"262","Friesian","1",16.8,231,"320150665","0"
"263","Friesian","1",9.7,75,"320150666","0"
"264","Friesian","1",13.8,47,"320150667","0"
"265","Friesian","1",14.8,383,"320150668","1"
"266","Friesian","2",24,184,"320150669","1"
"267","Friesian","1",7,426,"320150670","0"
"268","Friesian","1",19.8,99,"320150671","1"
"269","Friesian","1",14.8,129,"320150672","1"
"270","Friesian","1",18,2844,"320150695","1"
"271","Holstein-Friesian","1",18.8,70,"327011129","1"
"272","Friesian","4",20.2,124,"328390721","1"
"273","Friesian","4",17.1,230,"328390726","1"
"274","Friesian","4",18.7,1063,"328390730","0"
"275","Friesian","4",21.9,63,"328390734","1"
"276","Friesian","3",11.7,414,"328390735","0"
"277","Friesian","3",27.2,1212,"328390744","0"
"278","Friesian","4",18.8,1483,"328390746","0"
"279","Friesian","3",22.6,171,"328390749","1"
"280","Friesian","3",14.2,458,"328390750","0"
"281","Friesian","2",5.8,1347,"328390753","0"
"282","Friesian","3",13.5,146,"328390754","1"
"283","Friesian","3",8.6,969,"328390757","1"
"284","Friesian","1",6.4,287,"328390762","1"
"285","Friesian","3",18.5,2259,"328390766","1"
