breed,parity,kgmilk,cellcount,cowid,InCalf
2,1,16.2,210,328391035,1
8,1,21.3,27,328391036,1
2,1,20.1,90,328391037,0
2,2,17,115,332380475,1
2,2,23.4,97,332380499,1
2,1,13.3,205,332380562,1
2,1,14.5,5813,332380576,1
2,1,16.7,147,332380578,1
2,1,16.1,141,339700185,1
2,1,14.1,1068,345380494,0
2,3,12.7,224,351540508,0
8,4,9.6,152,354560688,0
2,4,14,605,354560698,1
2,4,13.3,235,354560702,1
2,4,26.5,28,354560716,0
2,3,20,433,354560739,0
2,4,21.6,894,354560740,0
2,4,22.3,218,354560754,1
2,3,8.9,319,354560763,1
8,3,20.9,139,354560764,0
2,3,19.6,78,354560772,1
2,3,20.3,340,354560774,0
2,3,19.2,119,354560775,0
2,3,16.4,181,354560793,1
2,2,6.9,342,354560801,1
2,3,17,181,354560809,1
2,2,20.6,64,354560810,1
2,3,29.7,323,354560821,1
2,2,13.7,389,354560823,1
2,2,18.2,102,354560825,1
2,2,18.1,114,354560826,1
2,2,17.3,151,354560830,1
2,2,28.9,20,354560836,1
2,2,27.5,18,354560837,1
2,2,28.7,207,354560843,0
2,2,14.9,36,354560845,1
2,2,32.6,81,354560846,0
2,1,23.2,290,354560849,0
2,2,21.4,52,354560851,1
2,2,8.2,304,354560853,0
2,2,10.8,425,354560856,1
2,2,15.7,467,354560874,1
2,1,16.1,26,354560879,1
2,1,17.9,16,354560890,1
2,1,13.2,377,354560891,1
2,2,27.1,580,354560893,0
2,2,16.5,146,354560901,1
2,1,16.9,37,354560907,0
2,1,14,21,354560910,1
2,1,17.6,17,354560911,1
2,1,13.7,36,354560912,1
2,1,7.9,58,354560915,0
2,1,18.3,22,354560916,1
2,1,14.3,351,354560924,1
2,1,21.4,11,354560926,0
2,1,14.6,137,354560932,0
2,1,19.5,297,354560935,1
2,1,14.1,237,354560936,1
2,1,14.4,115,354560938,0
2,1,12.8,15,354560941,1
2,1,16.9,123,354560942,1
2,1,13.3,103,354560944,1
2,1,14.4,805,354560951,1
2,1,22.1,48,354560952,1
2,1,19.8,93,354560958,1
2,1,17.9,14,354560960,1
2,1,16.9,89,354560961,1
2,1,11.8,28,354560966,1
2,2,14.2,21,354590087,0
1,1,12.1,44,354680623,0
2,3,23.3,653,369390516,0
2,4,13.6,99,385610879,1
2,4,18,270,400840131,1
1,6,29.4,260,421260498,1
1,2,16.2,150,421310407,1
1,3,15.2,100,423790555,1
1,3,20.4,170,423790573,0
1,2,14.4,300,423790615,1
1,2,11.8,310,423790621,1
1,NA,19.6,40,423790725,0
1,1,15.4,40,423790726,1
2,5,25.6,30,433690507,0
8,4,20.6,250,433690547,1
2,4,19.2,360,433690554,0
2,5,30,180,433690564,1
2,4,26.4,1160,433690568,0
2,2,19.8,300,433690615,1
8,3,11,1420,433690619,0
2,4,25,3250,433690620,1
2,3,24.6,370,433690644,1
2,2,18.4,100,433690646,1
2,3,30.8,100,433690653,1
2,2,10.2,290,433690657,1
2,2,16.4,70,433690662,0
2,2,24.6,520,433690674,1
2,2,23.2,80,433690681,1
2,2,25.4,450,433690682,1
2,3,24.8,790,433690687,1
8,2,16.8,40,433690695,1
2,2,21.2,510,433690698,1
2,2,21.4,590,433690712,1
8,2,21.6,20,433690714,1
8,2,18,2700,433690722,1
2,1,13.2,70,433690724,0
8,1,9,80,433690731,1
8,1,13.6,60,433690742,1
8,1,17.6,280,433690746,1
8,1,20.2,20,433690750,0
8,2,19.2,460,433690753,1
8,1,15.7,20,433690754,1
2,1,17.8,30,433690755,0
8,1,15.8,750,433690757,1
2,1,16.2,100,433690761,1
8,1,24.4,20,433690764,0
2,1,20.8,30,433690767,1
2,1,20.6,80,433690780,1
2,3,26,40,433690785,1
2,1,17.2,80,433690790,1
2,1,21.4,120,433690809,0
2,3,15,370,433690810,1
2,1,23.8,530,433690825,1
1,5,27.4,10,435170480,1
1,2,21.4,10,435170579,0
8,1,18.2,5300,439650705,1
2,8,34,1070,442440333,1
2,8,30.8,40,442440371,1
2,6,29.4,120,442440414,0
2,5,22,110,442440476,1
8,4,13.6,710,442440491,0
2,4,22.4,60,442440506,0
2,4,30,50,442440511,1
2,3,9.3,630,442440516,1
2,3,24.5,80,442440519,0
2,4,24,110,442440525,1
2,3,18.2,80,442440534,0
2,3,15.8,250,442440541,1
2,3,22.6,50,442440549,1
2,3,28.8,1090,442440551,1
2,3,23.4,110,442440552,1
2,3,21.2,160,442440557,1
2,2,13.8,230,442440558,0
2,3,39.1,90,442440561,1
2,3,25.6,40,442440564,1
2,2,13.3,240,442440567,1
2,2,19,480,442440576,1
8,2,24.6,50,442440579,1
2,2,27.2,120,442440587,1
2,2,21.7,40,442440592,1
2,2,21.4,40,442440596,1
2,1,13.9,150,442440622,1
8,1,21.4,30,442440624,0
2,1,19,160,442440625,1
2,1,9.9,170,442440626,1
2,1,21.2,80,442440627,1
2,1,19.7,40,442440629,1
2,1,23.2,40,442440630,1
2,1,18,110,442440631,0
8,1,25,40,442440632,1
2,1,23.6,10,442440633,1
2,1,20.8,90,442440634,0
2,1,23.6,10,442440635,1
2,1,20.4,100,442440637,0
2,1,19,60,442440638,1
1,1,14.4,550,442580524,1
1,2,19.2,70,451180055,1
2,7,27.4,1020,455260888,1
2,6,17.8,410,455260907,0
2,6,21.9,8100,455260932,1
2,6,18.9,720,455260982,1
2,5,18.7,530,455261056,1
2,5,9.1,1130,455261068,1
2,5,19.7,260,455261089,1
2,5,11.8,180,455261091,1
2,5,29.3,30,455261104,0
2,5,23.2,40,455261120,1
2,5,24.2,130,455261134,1
2,5,30.8,50,455261163,1
2,4,18.8,90,455261167,0
2,3,4.1,1680,455261170,0
2,5,43.1,50,455261171,1
2,4,32.6,30,455261198,0
2,4,19.5,3330,455261205,1
2,4,25.4,680,455261209,0
2,4,31.1,190,455261224,0
2,4,24.9,1670,455261237,1
2,4,29.4,2340,455261250,0
2,3,13.8,720,455261257,0
2,4,22.8,3930,455261261,1
2,3,24.8,350,455261293,1
8,4,23,130,455261322,1
8,3,24.7,450,455261325,1
2,3,26.4,410,455261343,1
8,3,10.9,130,455261344,1
8,3,22.1,160,455261358,0
2,3,25.8,30,455261361,1
8,3,25,140,455261363,0
2,3,20.8,60,455261367,1
8,3,28.6,540,455261376,0
8,3,27,40,455261378,1
8,3,25.8,30,455261381,1
8,2,20,260,455261383,1
2,3,21.3,620,455261385,1
8,3,22.1,1670,455261390,1
8,3,24,340,455261392,1
8,2,22.9,180,455261400,1
8,2,22.7,150,455261405,1
8,2,4.8,1620,455261406,1
8,3,22.7,1150,455261408,0
8,2,19.6,70,455261411,0
2,2,11.2,150,455261414,0
8,2,21.8,770,455261415,1
8,3,26.9,90,455261419,1
8,2,19.4,140,455261422,1
8,3,24.8,60,455261426,1
8,2,20,70,455261428,1
8,2,25.9,70,455261435,1
8,2,28.1,20,455261441,1
8,2,27.2,20,455261442,1
8,2,17.9,20,455261444,1
8,2,17.5,30,455261445,1
8,2,15.4,1000,455261446,0
8,2,31.3,10,455261448,0
8,2,29.8,460,455261449,1
8,2,24.7,70,455261452,1
8,2,13.4,610,455261454,1
8,2,18.4,50,455261457,1
8,2,20.7,200,455261458,0
8,2,22.5,60,455261464,0
8,2,19,1790,455261473,1
8,2,25.7,70,455261477,1
8,2,18.8,3370,455261480,0
8,2,26.6,1060,455261483,1
8,2,26.7,50,455261484,0
8,2,23.5,950,455261486,0
8,1,7.5,490,455261492,1
8,2,28.7,50,455261501,1
8,2,28.2,80,455261508,1
8,2,27.5,400,455261509,0
8,2,17.7,200,455261512,0
8,2,23,120,455261515,1
8,2,25,20,455261518,1
8,1,20.9,10,455261522,1
8,1,17,40,455261525,1
8,1,21.7,10,455261526,1
8,2,26.2,30,455261528,1
8,1,16.4,50,455261537,1
8,1,17.2,240,455261539,0
8,2,19.4,130,455261541,1
8,1,17.4,120,455261547,1
8,1,11.5,170,455261548,0
8,1,15.6,90,455261557,1
8,1,7.5,40,455261564,1
8,1,14.1,30,455261569,1
8,1,17.3,270,455261571,1
8,1,21.1,170,455261572,1
8,1,14.2,20,455261579,1
8,1,22.8,10,455261580,0
8,1,15.4,30,455261586,1
8,1,21.9,50,455261599,1
8,1,24,30,455261603,1
8,1,15.2,250,455261611,1
8,1,24.4,70,455261612,1
8,1,22.3,220,455261616,1
8,1,11.5,90,455261618,0
8,1,24.2,30,455261622,1
8,1,21.4,40,455261623,1
8,1,20.8,10,455261624,1
8,1,16.4,150,455261628,1
8,1,25.4,70,455261632,0
8,1,28.2,40,455261639,1
2,1,18,360,455261642,1
8,1,16.2,30,455261645,1
8,1,22.2,20,455261646,0
8,1,19.7,0,455261647,1
8,1,23.1,0,455261650,1
2,5,26,640,25930370,1
1,4,21.8,550,25930381,1
2,5,22.6,130,57840463,1
2,4,4.6,1520,57840469,1
8,3,20.4,350,57840496,1
2,3,16.8,90,57840499,1
2,4,14,320,57840503,1
2,4,8.6,420,57840504,1
2,4,6.6,570,57840506,0
2,4,16.8,90,57840517,0
2,4,23.2,120,57840518,1
2,3,18.8,220,57840551,1
2,3,12.6,420,57840554,0
2,3,29,120,57840574,1
2,2,13,290,57840578,1
2,2,16.6,630,57840580,1
8,2,14.2,240,57840586,1
2,2,14.8,330,57840590,0
2,2,18.6,120,57840597,0
2,2,22.4,130,57840599,1
2,1,8.4,220,57840604,1
2,2,26.6,110,57840611,1
2,2,20.6,90,57840612,1
2,2,20.6,430,57840614,0
8,2,22.8,240,57840617,1
2,1,18.2,60,57840620,1
2,1,17,100,57840628,0
2,2,21,190,57840629,0
2,1,24.2,2810,57840632,1
2,2,22.6,70,57840636,1
2,2,22.2,60,57840637,1
2,1,14.4,30,57840643,0
2,1,19.4,160,57840644,0
2,1,25.6,110,57840645,0
2,1,14.2,2050,57840646,1
2,1,21,60,57840647,0
2,1,19.6,230,57840648,1
2,1,20.4,50,57840652,1
2,1,20.6,40,57840668,0
2,1,25.4,440,57840672,1
2,1,24.6,100,57840678,1
2,1,22.4,20,57840681,1
2,1,19,50,57840682,0
2,1,17,310,57840696,0
3,4,19.6,100,58650404,0
3,4,17.4,1400,58650405,1
3,4,17.4,360,58650420,1
3,2,17.6,80,58650477,1
8,6,20.6,850,59520810,0
8,5,23.2,150,59520903,1
8,4,16,550,59520966,1
8,4,26.8,450,59520971,0
8,4,16.4,140,59520972,1
8,4,16.4,540,59520984,1
8,4,23.4,90,59520995,1
8,3,16,570,59520998,1
8,3,32.4,130,59521009,1
8,4,31,310,59521012,1
1,4,17.6,460,59521027,1
8,4,27,270,59521046,1
8,3,20.4,130,59521049,0
1,3,30.8,130,59521050,1
8,3,12.8,1010,59521063,1
1,3,18.8,330,59521078,1
8,2,23.8,140,59521079,1
8,3,19.4,180,59521081,0
8,3,28.4,1680,59521082,1
8,3,34.8,40,59521085,1
1,3,26,140,59521090,1
8,1,16.2,440,59521103,1
8,2,19.6,230,59521108,1
8,2,22,410,59521129,1
8,2,25.4,30,59521130,0
1,1,19.4,90,59521135,0
8,1,14,70,59521136,0
8,2,30,80,59521141,1
1,2,27,20,59521142,0
1,2,20.4,130,59521145,1
2,5,32.8,270,59521146,0
2,2,19.6,150,59521147,1
8,1,14.2,130,59521148,0
1,2,25.6,260,59521153,1
8,2,17.4,3830,59521154,0
8,1,14.2,120,59521201,1
1,1,20.6,200,59521202,1
1,2,26,110,59521203,1
1,2,30.8,60,59521204,1
8,2,24.8,510,59521205,1
8,1,17.8,170,59521206,1
8,2,23.4,100,59521207,1
1,2,24.8,40,59521208,1
8,1,18.2,200,59521209,1
8,2,25.5,230,59521211,0
8,1,20.4,30,59521212,0
8,1,15,50,59521214,1
8,1,19,80,59521215,1
1,1,10.6,50,59521216,1
8,1,17.8,20,59521217,1
8,1,15.4,150,59521218,1
8,1,18.9,20,59521222,1
8,1,18.4,50,59521223,1
1,1,15.2,180,59521224,1
8,1,19.8,250,59521227,1
8,1,22.2,30,59521228,1
8,1,18.6,80,59521229,0
8,1,24.2,60,59521231,1
8,1,23.8,20,59521233,1
8,1,18.2,90,59521234,0
8,1,22,40,59521235,1
8,1,23.4,50,59521236,1
1,1,18,80,59521237,0
8,1,19.4,10,59521238,0
8,1,22.8,70,59521239,1
1,1,17.8,50,59521240,1
1,1,19.4,40,59521241,1
8,1,19.4,300,59521242,1
8,1,19,60,59521245,1
8,1,24.2,10,59521256,1
8,1,16.6,330,59521263,1
8,1,23,130,59521265,0
8,1,15,150,59521274,1
3,6,14.2,90,60090367,1
3,4,18.4,200,60090424,1
3,3,6.8,30,60090450,1
3,3,17.8,960,60090453,1
3,3,13.6,4070,60090468,1
3,3,19.2,200,60090474,1
3,2,11.8,120,60090485,1
3,2,6.4,590,60090491,0
3,2,14.4,100,60090492,0
3,2,15.8,20,60090522,1
3,1,15.2,320,60090527,1
1,1,18.6,100,60090563,1
1,1,23.6,10,61870529,1
1,1,20.4,60,61870563,0
3,6,14.8,180,62950341,1
3,5,26,300,62950356,1
1,7,19,560,67360343,1
1,4,10.2,150,67360354,1
1,6,20.6,600,67360361,1
1,5,13.4,1330,67360362,0
1,4,11.2,2600,67360371,1
1,4,4.4,520,67360373,1
1,4,12.6,80,67360375,0
1,3,8.2,250,67360386,0
1,3,4.8,420,67360387,1
1,4,19.8,1560,67360394,1
1,3,6.6,390,67360395,1
1,2,17,190,67360464,1
1,2,12.8,160,67360465,1
1,2,11,380,67360475,1
1,2,12,390,67360477,1
1,1,7.4,80,67360501,1
1,1,10.8,290,67360502,1
1,1,13,120,67360503,0
1,1,12.8,70,67360504,1
1,2,3.2,420,67360505,1
1,1,6.8,380,67360507,1
1,1,11.8,140,67360508,0
1,1,10.4,180,67360509,0
1,1,10.6,600,67360510,1
1,4,29.2,240,69270359,1
3,2,18,70,70770377,1
3,2,20,210,70770396,1
3,3,15.4,50,79160381,0
3,8,16.2,290,81870316,0
3,6,13.8,190,86430401,1
3,5,18.6,90,86430445,0
3,5,11.8,80,86430455,1
3,6,25.2,10,86430464,1
3,4,15.6,70,86430485,1
3,4,14.6,50,86430493,1
3,4,15.4,50,86430500,1
3,4,18,20,86430509,0
3,4,20.8,30,86430520,0
3,4,21.5,320,86430531,1
3,3,16.4,820,86430538,0
3,4,30.2,460,86430539,1
3,4,18,10,86430544,0
3,4,19.2,100,86430548,0
3,3,15.2,20,86430580,0
3,3,19,60,86430583,0
3,3,9.6,290,86430588,1
3,3,18.4,580,86430590,1
3,3,15,20,86430594,1
3,3,18.8,1,86430598,0
3,3,18.8,230,86430603,1
3,3,15.4,50,86430607,0
3,3,11,50,86430612,1
3,3,22,1,86430625,1
3,3,18.4,1060,86430648,0
3,2,17.6,150,86430650,1
3,2,14.6,110,86430652,1
3,2,9,270,86430654,0
3,3,21.8,40,86430657,0
3,2,15,410,86430660,1
3,2,19.4,300,86430663,0
3,2,12,350,86430666,1
3,2,21.2,10,86430672,0
3,2,11.2,180,86430676,1
3,2,23.2,140,86430694,1
3,2,14.4,30,86430700,1
3,1,13.6,40,86430701,1
3,1,13.6,520,86430702,1
3,1,9.8,490,86430703,1
3,2,19.9,30,86430707,1
3,1,17.6,30,86430715,1
3,1,13.6,70,86430717,1
3,1,15.8,270,86430722,1
3,1,13,280,86430730,0
3,1,19,30,86430733,1
3,1,14.8,100,86430748,1
3,1,15.8,120,86430753,1
3,1,16.2,40,86430757,0
3,1,16.4,30,86430760,1
3,1,17.4,270,86430767,1
3,8,14.6,421,92040558,0
8,7,20.4,123,92040639,1
8,5,21.8,963,92040769,0
8,5,30.6,255,92040786,1
8,4,15.4,915,92040792,1
8,5,23.6,107,92040795,0
8,4,24,436,92040799,1
8,5,28.2,728,92040801,1
8,5,16,660,92040819,1
8,4,28.2,922,92040826,1
8,4,23,1242,92040839,1
8,4,23.4,5812,92040848,0
3,4,18,2357,92040855,1
3,4,16.4,340,92040859,1
3,3,11,462,92040863,1
8,4,27,59,92040865,1
8,3,20.8,105,92040882,1
8,3,16.2,137,92040893,1
8,3,28,64,92040931,1
3,3,11.2,24,92040941,1
8,3,25,200,92040947,1
3,2,5,930,92040955,1
8,2,23.2,34,92040957,1
3,2,14.4,28,92040977,1
8,2,28,50,92040983,0
3,2,13.4,512,92040985,1
8,2,11,1753,92040991,1
3,2,18.2,62,92040997,1
8,2,19.4,910,92040998,0
3,2,21.8,88,92041001,1
3,2,18.4,835,92041005,1
8,1,13.4,91,92041012,1
8,2,26.8,93,92041015,1
8,2,19.6,24,92041016,0
8,2,16.2,22,92041017,1
8,2,26,106,92041024,1
8,2,21.2,10,92041025,1
8,1,17,44,92041027,0
8,2,15.8,40,92041033,1
8,1,13.2,136,92041043,1
8,1,16.6,203,92041045,1
8,1,14.2,40,92041049,1
8,1,16.4,76,92041052,1
3,1,13.2,36,92041054,1
8,1,15.2,6195,92041057,0
3,1,12.6,138,92041059,1
8,1,20.2,450,92041062,1
3,1,14.8,20,92041063,0
8,1,22,22,92041064,0
3,1,17.2,137,92041066,0
3,1,9.6,44,92041069,1
8,1,17,567,92041070,0
3,1,14,31,92041074,1
3,1,13.3,529,92041076,1
8,1,18.4,45,92041082,1
8,1,20.6,504,92041085,1
8,1,16.8,32,92041086,0
3,1,16.8,15,92041093,1
8,1,17.2,29,92041098,0
8,1,21.6,50,92041099,1
2,6,24.4,250,92900442,1
2,2,26.6,203,103960619,1
2,7,29.8,2708,112580333,1
2,5,32.4,873,112580421,1
2,5,12,173,112580431,1
2,4,30,459,112580502,0
2,4,34.4,202,112580511,1
2,4,30,352,112580526,1
8,3,38.8,947,112580540,0
2,3,26,186,112580548,1
2,3,30,73,112580553,0
8,3,28.2,171,112580554,0
2,3,40.6,46,112580559,0
2,3,28,119,112580561,0
